Blackie Lawless,Amerikanska_musiker
Stevie Wonder,Amerikanska_musiker
Blues Brothers,Amerikanska_musikgrupper
beauty,Amerikanska_musiksinglar
Harold Smith,Amerikanska_olympiska_guldmedaljörer
Dizzy Gillespie,Amerikanska_orkesterledare
Earl Hines,Amerikanska_orkesterledare
Whitney Houston,Amerikanska_popsångare
Bill Clinton,Amerikanska_presidentkandidater
Michael Dukakis,Amerikanska_presidentkandidater
Richard Nixon,Amerikanska_presidentkandidater
Ross Perot,Amerikanska_presidentkandidater
John Roemer,Amerikanska_professorer
William James,Amerikanska_psykologer
Paul Newman,Amerikanska_racerförare
Chuck Berry,Amerikanska_rockgitarrister
MC5,Amerikanska_rockgrupper
Toto,Amerikanska_rockgrupper
Bruce Springsteen,Amerikanska_rocksångare
Christopher Walken,Amerikanska_röstskådespelare
Diana Ross,Amerikanska_sångare
Frank Sinatra,Amerikanska_sångare
Jennifer Warnes,Amerikanska_sångare
Michael Bolton,Amerikanska_sångare
Pat Boone,Amerikanska_sångare
Roy Orbison,Amerikanska_sångare
Tim Buckley,Amerikanska_sångare
Ally Walker,Amerikanska_skådespelare
Glenn Close,Amerikanska_skådespelare
Anthony Quinn,Amerikanska_skådespelare_under_1900-talet
Matt Dillon,Amerikanska_skådespelare_under_1900-talet
Miller,Amerikanska_släkter
Barbara Hendricks,Amerikanska_sopraner
Andre Agassi,Amerikanska_tennisspelare
Ivan Lendl,Amerikanska_tennisspelare
Jimmy Connors,Amerikanska_tennisspelare
Martina Navratilova,Amerikanska_tennisspelare
Michael Chang,Amerikanska_tennisspelare
Monica Seles,Amerikanska_tennisspelare
Forbes,Amerikanska_tidskrifter
Michael Moore,Amerikanska_TV-programledare
Magnum,Amerikanska_TV-serier
Annabella Sciorra,Amerikanska_TV-skådespelare
Diane Ladd,Amerikanska_TV-skådespelare
Dianne Wiest,Amerikanska_TV-skådespelare
Ellen Barkin,Amerikanska_TV-skådespelare
Gary Busey,Amerikanska_TV-skådespelare
Griffin Dunne,Amerikanska_TV-skådespelare
Jack Nicholson,Amerikanska_TV-skådespelare
James Woods,Amerikanska_TV-skådespelare
Jimmy Smits,Amerikanska_TV-skådespelare
John Malkovich,Amerikanska_TV-skådespelare
Lesley Ann Warren,Amerikanska_TV-skådespelare
Meryl Streep,Amerikanska_TV-skådespelare
Michael Gross,Amerikanska_TV-skådespelare
Michael Keaton,Amerikanska_TV-skådespelare
Michael Madsen,Amerikanska_TV-skådespelare
Michelle Pfeiffer,Amerikanska_TV-skådespelare
